年份,旅館名稱,散客人數(FIT),團體客人數(Group),住客總人次,本國旅客,日本,美國,南韓,港澳,新加坡,馬來西亞,泰國,中國大陸,歐洲地區
2024,臺北市,3487825.0,766661.0,4254486.0,1259988.0,803920.0,616477.0,350638.0,284299.0,197225.0,67680.0,46510.0,135665.0,119663.0
2024,桃園市,425154.0,122764.0,547918.0,309940.0,21355.0,31017.0,10158.0,8938.0,12027.0,7034.0,20746.0,6859.0,8970.0
2024,桃園市,247229.0,64515.0,311744.0,148809.0,15989.0,10212.0,17795.0,15944.0,6608.0,18059.0,1792.0,10721.0,4955.0
2024,桃園市,672383.0,187279.0,859662.0,458749.0,37344.0,41229.0,27953.0,24882.0,18635.0,25093.0,22538.0,17580.0,13925.0
2024,臺中市,299119.0,85253.0,384372.0,292392.0,21157.0,11164.0,7147.0,5132.0,4491.0,3785.0,1431.0,6262.0,12401.0
2024,臺中市,156761.0,31684.0,188445.0,133837.0,10885.0,6026.0,3162.0,2354.0,2086.0,2782.0,736.0,2636.0,10026.0
2024,臺中市,455880.0,116937.0,572817.0,426229.0,32042.0,17190.0,10309.0,7486.0,6577.0,6567.0,2167.0,8898.0,22427.0
2024,臺南市,442629.0,126027.0,568656.0,463321.0,24841.0,19566.0,7654.0,7964.0,6667.0,3259.0,795.0,6497.0,12570.0
2024,臺南市,920.0,0.0,920.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,臺南市,443549.0,126027.0,569576.0,464241.0,24841.0,19566.0,7654.0,7964.0,6667.0,3259.0,795.0,6497.0,12570.0
